train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.995755,0.718239,0.999634,0.960135
0.995771,0.718286,0.999635,0.960144
0.995786,0.718488,0.999636,0.960182
0.995815,0.718666,0.999638,0.960186
0.995867,0.718705,0.999644,0.96018
0.995895,0.718966,0.999646,0.960203
0.99591,0.7189,0.999647,0.960204
0.995927,0.718945,0.999649,0.960199
0.995936,0.719055,0.99965,0.960194
0.99595,0.719282,0.999651,0.960231
0.99598,0.719454,0.999654,0.960278
0.996016,0.719621,0.999657,0.9603
0.99603,0.719805,0.999658,0.960324
0.996045,0.719949,0.999659,0.960326
0.99607,0.719943,0.999662,0.960332
0.996089,0.72012,0.999663,0.960346
0.996098,0.720218,0.999664,0.960375
0.996115,0.720282,0.999666,0.960367
0.996133,0.720371,0.999667,0.960381
0.996151,0.720417,0.999669,0.9604
0.996192,0.720629,0.999672,0.960421
0.996211,0.720741,0.999674,0.960429
0.996225,0.720611,0.999676,0.960415
0.996249,0.720762,0.999678,0.960415
0.996258,0.720717,0.999679,0.96042
0.996297,0.720877,0.999683,0.960419
0.996317,0.720948,0.999685,0.960453
0.99633,0.720958,0.999686,0.960496
0.996339,0.720963,0.999687,0.960493
0.996372,0.721085,0.99969,0.960502
0.996385,0.721069,0.999692,0.960508
0.996412,0.7211,0.999694,0.960503
0.996442,0.721169,0.999697,0.960541
0.996465,0.721306,0.999699,0.960523
0.996496,0.721487,0.999702,0.960571
0.996534,0.721719,0.999705,0.960622
0.996539,0.721735,0.999705,0.960643
0.996544,0.721883,0.999706,0.960671
0.996568,0.722043,0.999708,0.960695
0.996576,0.722248,0.999709,0.960704
0.99659,0.722277,0.99971,0.960681
0.996633,0.722472,0.999714,0.960701
0.996652,0.722572,0.999716,0.960712
0.996664,0.722794,0.999717,0.96075
0.996696,0.722891,0.99972,0.960766
0.996712,0.723035,0.999722,0.960738
0.996731,0.723008,0.999723,0.960764
0.996743,0.72296,0.999725,0.960749
0.996769,0.723163,0.999727,0.960774
0.996774,0.723229,0.999727,0.96077
0.99679,0.723357,0.999729,0.960788
0.996792,0.723415,0.999729,0.960794
0.996801,0.723484,0.99973,0.960798
0.996838,0.723604,0.999733,0.960803
0.996871,0.723736,0.999736,0.9608
0.996873,0.723734,0.999736,0.960793
0.996906,0.723758,0.999739,0.960771
0.996913,0.723885,0.99974,0.960788
0.996931,0.724117,0.999742,0.960821
0.996945,0.724083,0.999743,0.960823
0.996973,0.72427,0.999745,0.960843
0.996996,0.724437,0.999747,0.960898
0.997019,0.724495,0.99975,0.960898
0.997047,0.72448,0.999752,0.960913
0.997075,0.724618,0.999754,0.960921
0.997093,0.724734,0.999756,0.960902
0.997118,0.724848,0.999758,0.96091
0.997132,0.72509,0.99976,0.960951
0.997146,0.725134,0.999761,0.96097
0.997194,0.725312,0.999765,0.960968
0.997203,0.725462,0.999766,0.960986
0.997211,0.725414,0.999767,0.960982
0.997218,0.725443,0.999767,0.960957
0.99724,0.725377,0.999769,0.960939
0.997246,0.725497,0.99977,0.960956
0.997259,0.7256,0.999771,0.960975
0.997274,0.725605,0.999772,0.960968
0.997288,0.725637,0.999774,0.961008
0.997303,0.725622,0.999775,0.961
0.99731,0.725648,0.999775,0.960996
0.997317,0.725719,0.999776,0.961001
0.997328,0.725792,0.999777,0.96101
0.997339,0.725953,0.999778,0.961022
0.997348,0.725951,0.999779,0.961033
0.997353,0.725972,0.999779,0.961033
0.997375,0.725991,0.999781,0.961033
0.997382,0.726145,0.999782,0.961035
0.997384,0.726189,0.999782,0.961055
0.997401,0.726264,0.999783,0.961047
0.997405,0.726246,0.999783,0.961041
0.997425,0.726415,0.999785,0.961091
0.997447,0.726454,0.999787,0.961124
0.997468,0.726617,0.999789,0.961135
0.997478,0.726665,0.99979,0.961148
0.997486,0.726783,0.99979,0.961154
0.997492,0.726846,0.999791,0.961153
0.99751,0.726739,0.999793,0.961116
0.997516,0.726826,0.999793,0.961131
0.997523,0.726862,0.999794,0.961149
0.997532,0.72701,0.999795,0.96118
0.997556,0.726895,0.999797,0.961162
0.997562,0.726963,0.999797,0.961149
